MaNV,HoTen,SoNha,Duong,Quan,ThanhPho,NgaySinh,Phai,BoPhan,ChiNhanh,Luong,DangLamViec
00043,Hạnh Cao Phong,782,Cúc,Quận 1,Đà Nẵng,21/02/1966,Nữ,2,14,13840584,0
00044,Cái Anh Hương,579D,Quốc Lộ 1A,Long Biên,Đà Nẵng,08/08/2000,Nam,4,13,13245024,1
00045,Lâm Khuê Trung,31D,Xoài,Bắc Từ Liêm,Đà Nẵng,10/12/2008,Nam,2,5,23874145,1
00046,Khưu Việt Thái,902,Võ Nguyên Giáp,Quận 9,Hồ Chí Minh,29/05/2008,Nữ,5,5,15188456,0
00047,Mai Trầm Hương,858,Hàm Thuận Nam,Liên Chiểu,Đà Nẵng,14/08/2007,Nam,5,6,19159340,0
00048,Tống Duy Kính,952,Phạm Ngũ Lão,Tây Hồ,Hà Nội,23/07/1991,Nam,5,9,23315424,0
00049,Vĩnh Toàn Thắng,978A,Lang Biang,Quận 1,Hà Nội,08/05/1981,Nữ,4,3,19644404,0
00050,Lâm Lâm Ðồng,893,Hồ Chí Minh,Liên Chiểu,Hà Nội,07/04/1994,Nam,1,14,20692776,0
00051,Sa Thanh Minh,737,Độc Lập,Hải Châu,Hà Nội,01/03/1969,Nữ,2,12,8351005,0
00052,La Quốc Thông,391A,Sài Gòn,Hải Châu,Hồ Chí Minh,08/10/2004,Nữ,5,9,21692143,0
00053,Trịnh Hữu Khanh,895C,Cách Mạng Tháng Tám,Cẩm Lệ,Hồ Chí Minh,23/12/1988,Nữ,3,12,14196578,0
00054,Ứng Ngọc Thạch,812,Võ Nguyên Giáp,Ba Đình,Hồ Chí Minh,11/02/1988,Nữ,3,15,18578467,0
00055,Nông Nguyên Phong,827,Hàm Nghi,Hà Đông,Đà Nẵng,06/08/2001,Nam,5,8,7573755,1
00056,Vương Quang Lộc,979,Yersin,Liên Chiểu,Hà Nội,21/01/1966,Nữ,5,1,26489993,1
00057,Kiều Tuyết Trinh,753,Tăng Bạt Hổ,Hà Đông,Đà Nẵng,16/12/2000,Nữ,1,13,25873497,1
00058,Hồng Ánh Ngọc,938C,Đào,Sơn Trà,Đà Nẵng,29/04/1999,Nữ,4,12,21236667,0
00059,Hà Diễm Thảo,373D,Lê Lợi,Tân Phú,Hồ Chí Minh,21/01/1988,Nam,3,5,18301398,0
00060,Quỳnh Huệ Lâm,205,Phan Châu Trinh,Quận 5,Hồ Chí Minh,11/04/1973,Nam,1,6,12500193,0
00061,Quỳnh Tùng Linh,852,Tam Đảo,Thanh Khê,Hà Nội,10/01/1987,Nữ,5,5,12670404,1
00062,Đèo Hoàn Kiếm,815,Thống Nhất,Cẩm Lệ,Hà Nội,25/11/1991,Nữ,1,14,25549688,1
00063,Bồ Bảo Hân,335,Võ Nguyên Giáp,Sơn Trà,Đà Nẵng,19/07/1999,Nữ,4,13,24880424,0
00064,Đoàn Dũng Trí,581,Nguyễn Khuyến,Long Biên,Đà Nẵng,06/03/1980,Nam,5,12,14562701,1
00065,Huỳnh Bích Vân,232,Hồ Xuân Hương,Hải Châu,Hà Nội,08/01/1975,Nữ,5,14,19841572,1
00066,Thạch Thành Doanh,981D,Huỳnh Thúc Kháng,Tây Hồ,Hồ Chí Minh,21/08/1981,Nữ,3,14,17552980,0
00067,Đàm An Nhiên,304,Nguyễn Hữu Thọ,Cẩm Lệ,Đà Nẵng,30/07/1981,Nam,2,10,21143070,1
00068,Đoàn Ðình Chương,357,Điện Biên,Liên Chiểu,Hồ Chí Minh,11/12/1992,Nữ,3,11,14021613,1
00069,Tống Duy Mỹ,513A,Giảng Võ,Đống Đa,Đà Nẵng,08/05/1974,Nam,4,5,25560900,1
00070,Mẫn Quyết Thắng,549,Châu Văn Liêm,Quận 7,Hà Nội,09/11/1967,Nữ,4,4,25528482,1
00071,La Tinh Tú,767D,Bạch Đằng,Hải Châu,Hồ Chí Minh,06/05/1980,Nam,5,4,10973539,0
00072,Trịnh Đài Trang,406,Hoàng Văn Thụ,Hà Đông,Đà Nẵng,18/08/1987,Nam,1,5,8234362,0
00073,Y Kim Toàn,89,Trần Quang Diệu,Cẩm Lệ,Hà Nội,20/05/2003,Nam,3,14,11567108,0
00074,Hà Tâm Ðoan,102,Yersin,Thanh Khê,Hồ Chí Minh,04/09/1986,Nữ,1,12,25756964,0
00075,Vương Bảo Huy,729B,Phan Xích Long,Hoàn Kiếm,Hà Nội,26/06/1966,Nam,4,3,9477099,1
00076,Đàm Hồng Phương,236A,Trần Phú,Đống Đa,Hồ Chí Minh,01/11/1999,Nữ,2,9,13491213,0
00077,Cảnh Xuân Cao,277D,Sấu,Long Biên,Đà Nẵng,25/02/1994,Nữ,1,3,14651621,0
00078,Hoàng Khắc Ninh,767,Duy Tân,Quận 3,Đà Nẵng,23/09/2009,Nữ,1,12,9420867,1
00079,Lâm Trúc Lan,443,Mít,Hoàn Kiếm,Đà Nẵng,31/01/2005,Nữ,2,6,9355123,0
00080,Đồng Minh Thạc,406,Cúc,Cẩm Lệ,Đà Nẵng,02/01/2008,Nữ,3,9,27766571,0
00081,Ứng Kiên Giang,139B,Nguyễn Thị Minh Khai,Cầu Giấy,Hà Nội,09/02/1984,Nữ,2,2,9045891,0
00082,Lý Tuyết Vy,765B,Võ Thị Sáu,Quận 5,Hà Nội,07/12/1990,Nam,1,2,15329437,0
00083,Hứa Gia Phước,965A,Lan,Quận 1,Hồ Chí Minh,18/12/2008,Nữ,5,12,9091080,0
00084,Bồ Xuân Ngọc,337,Lê Quang Đạo,Quận 7,Hà Nội,25/11/1978,Nữ,3,7,9099363,0
00085,Giáp Thảo Trang,892D,Sấu,Quận 11,Hà Nội,13/04/2005,Nam,1,15,15074530,0
00086,Hạ Phi Hùng,952A,Hùng Vương,Sơn Trà,Hà Nội,12/08/1987,Nam,3,15,8057157,0
00087,Huỳnh Diễm Hương,141,Nguyễn Đình Chiểu,Quận 10,Đà Nẵng,06/09/1980,Nữ,4,6,12643140,0
00088,Mè Ðăng An,602A,Xà Cừ,Sơn Trà,Đà Nẵng,10/03/1999,Nữ,3,9,11992247,1
00089,Phan Thành Phương,942D,Lạc Long Quân,Quận 7,Hồ Chí Minh,28/09/2004,Nữ,2,11,15773478,0
00090,Đàm Tùng Quang,828,Bạch Đằng,Liên Chiểu,Hà Nội,22/07/2008,Nữ,3,4,22067640,1
00091,Y Thiện Ngôn,291C,Trần Bình Trọng,Liên Chiểu,Hà Nội,10/06/1975,Nữ,1,11,15655458,1
00092,Ứng Xuân Huy,475D,Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,12/09/2002,Nữ,1,1,23194957,0
00093,Châu Khuyến Học,186B,Trần Bình Trọng,Cẩm Lệ,Đà Nẵng,06/02/2009,Nam,2,12,24955819,1
00094,Mẫn Hán Lâm,574C,Duy Tân,Hải Châu,Hồ Chí Minh,02/03/1969,Nữ,4,6,21852870,0
00095,Nghiêm Bách Du,172,Đồng Nai,Thanh Khê,Đà Nẵng,06/01/2007,Nam,3,9,8698553,1
00096,Bùi Bảo Hân,56D,Thanh Niên,Quận 7,Hồ Chí Minh,05/02/2002,Nam,4,3,7910983,1
00097,Nghiêm Duyên Mỹ,180,Nguyễn Thị Minh Khai,Thanh Khê,Đà Nẵng,29/05/1995,Nam,3,1,26011354,0
00098,Ngụy Diệu Hồng,832B,Sấu,Tân Bình,Hồ Chí Minh,29/11/1970,Nam,2,9,20628243,0
00099,Lương Nam Phi,280A,Thanh Niên,Quận 9,Đà Nẵng,26/03/1971,Nữ,3,3,8523547,1
00100,Quỳnh Quang Thuận,729A,Nguyễn Văn Cừ,Hoàn Kiếm,Hồ Chí Minh,25/10/1980,Nữ,2,9,23189917,0
00101,Vũ Bích Duyên,481,Nguyễn Công Trứ,Hà Đông,Hồ Chí Minh,19/07/2003,Nam,4,6,19733543,1
00102,Ngụy Duyên Hồng,840A,Nguyễn Thiếp,Quận 9,Đà Nẵng,03/01/2002,Nam,5,15,9367734,1
00103,Đoàn Thành Ðệ,543B,Châu Văn Liêm,Ba Đình,Hà Nội,05/01/1999,Nữ,2,1,10667142,0
00104,Đỗ Chung Thủy,922,Trường Sa,Quận 8,Hà Nội,29/08/2009,Nữ,3,3,12138687,0
00105,Ngụy Đan Thu,958,Xoài,Tây Hồ,Hà Nội,21/02/1977,Nữ,2,7,29548134,1
00106,Bùi Chí Nam,72D,Lan,Quận 5,Hà Nội,17/02/1978,Nữ,2,15,19547830,1
00107,Lâm Ngọc Danh,775,Lê Văn Sỹ,Hoàng Mai,Hồ Chí Minh,06/11/1994,Nữ,4,12,25947156,1
00108,Thái Yến Anh,812D,Côn Đảo,Bắc Từ Liêm,Hà Nội,09/01/1976,Nam,1,13,18638404,1
00109,Ứng Tùng Lâm,836A,Nguyễn Văn Cừ,Hoàng Mai,Hồ Chí Minh,09/08/1972,Nữ,2,4,29501384,0
00110,Võ Ngọc Thuận,679,Hồ Xuân Hương,Bình Tân,Đà Nẵng,22/10/1981,Nam,1,8,28065662,0
00111,Dương Hữu Tân,898,Bà Triệu,Quận 9,Đà Nẵng,02/10/1965,Nam,2,9,25388781,0
00112,Lý Hiếu Dụng,47,Cầu Giấy,Quận 11,Hà Nội,12/11/1991,Nam,2,6,12670221,1
00113,Kiều Vy Lam,447B,Ba Vì,Quận 7,Hà Nội,15/12/1981,Nam,2,1,26002994,1
00114,Nghiêm Ðăng An,308,Lê Quang Đạo,Đống Đa,Hà Nội,02/07/1977,Nữ,1,1,26571918,0
00115,Từ Ðức Anh,283,Xoài,Cẩm Lệ,Hà Nội,04/04/2009,Nữ,3,13,23517619,1
00116,Tôn Diễm Phượng,575,Nguyễn Thiện Thuật,Thanh Khê,Đà Nẵng,11/12/1970,Nam,4,15,23444813,0
00117,Võ Lâm Trường,768B,Trường Chinh,Quận 3,Đà Nẵng,06/01/1997,Nữ,2,14,21305402,0
00118,Hồ Diệu Vân,957C,Ba Vì,Hải Châu,Đà Nẵng,25/11/1987,Nữ,4,15,25250406,0
00119,Ông Duy Hiền,378C,Chiến Thắng,Quận 7,Hồ Chí Minh,21/07/2008,Nữ,2,14,26504500,1
00120,Tống Thường Kiệt,719A,Nguyễn Phúc Nguyên,Cẩm Lệ,Hồ Chí Minh,21/04/2002,Nam,3,1,23262129,0
00121,Tiêu Hạnh Trang,122C,Nguyễn Huệ,Quận 5,Hồ Chí Minh,02/11/1979,Nữ,3,8,15097033,0
00122,Khổng Ðức Siêu,651C,Đinh Tiên Hoàng,Cẩm Lệ,Hà Nội,19/05/1968,Nam,5,15,17023185,1
00123,Hồ Huệ Linh,442A,Xà Cừ,Tây Hồ,Hà Nội,26/10/2001,Nam,5,7,29299909,0
00124,Trương Ðức Toàn,581,Hương Giang,Quận 12,Hồ Chí Minh,24/05/2009,Nữ,4,11,15764035,0
00125,Lò Trang Tâm,42,Bạch Mai,Hai Bà Trưng,Đà Nẵng,28/04/1991,Nữ,5,15,7336677,1
00126,Vương Hoàng Minh,669,Phan Châu Trinh,Thanh Khê,Đà Nẵng,02/12/1987,Nữ,2,13,7759244,0
00127,Cái Nhật Quân,435A,Cúc,Cẩm Lệ,Hà Nội,18/09/1992,Nữ,5,9,16457780,0
00128,Khưu Hà My,787,Thanh Niên,Quận 4,Đà Nẵng,31/12/1985,Nữ,5,4,22360899,1
00129,Cái Ðức Duy,691,Tôn Thất Tùng,Hải Châu,Hà Nội,06/09/1976,Nam,1,15,11574109,1
00130,Vi Vân Chi,584,Phan Châu Trinh,Long Biên,Hà Nội,22/05/2004,Nữ,3,4,9260148,1
00131,Võ Thanh Tú,642,Ngô Quyền,Tây Hồ,Hồ Chí Minh,15/04/1967,Nữ,1,7,17503223,0
00132,Lò Phúc Thịnh,553A,Phan Bội Châu,Ngũ Hành Sơn,Hà Nội,15/10/1997,Nữ,3,1,22356296,0
00133,Y Minh Hoàng,715,Hồ Xuân Hương,Quận 4,Đà Nẵng,04/11/1995,Nam,3,10,19551574,0
00134,Đàm Chính Tâm,131C,Đồng Khởi,Hải Châu,Đà Nẵng,14/12/1999,Nam,2,13,21481129,0
00135,Tạ Hải Thanh,424,Côn Đảo,Thanh Khê,Hồ Chí Minh,11/12/2004,Nữ,2,8,24652179,0
00136,Kiều Nhật Huy,561B,Cúc,Hai Bà Trưng,Hồ Chí Minh,12/02/1992,Nữ,4,5,8836037,0
00137,Hạ Thiện Tính,437,Tăng Bạt Hổ,Hoàn Kiếm,Đà Nẵng,07/09/1968,Nữ,3,5,19118206,1
00138,Giáp Uyên Thơ,766,Hai Bà Trưng,Thanh Khê,Hà Nội,16/12/1981,Nữ,4,15,27617993,1
00139,Cao Diễm Kiều,99,Độc Lập,Nam Từ Liêm,Hồ Chí Minh,27/09/1977,Nam,3,6,21789682,1
00140,Phạm Hồng Khôi,862,Vú Sữa,Cẩm Lệ,Hồ Chí Minh,20/12/1988,Nữ,5,10,14016567,1
00141,Bạch Hán Lâm,606C,Phùng Hưng,Sơn Trà,Đà Nẵng,22/10/2001,Nữ,5,8,16720772,0
00142,Sầm Bá Cường,324,Lê Thánh Tôn,Hải Châu,Hà Nội,25/07/1966,Nữ,3,1,8396440,0
00143,Tiêu Gia Phúc,119,Hoàng Sa,Đống Đa,Hồ Chí Minh,22/11/2009,Nữ,2,1,9950850,0
00144,Bế Hà Nhi,449,Nguyễn Thị Minh Khai,Hai Bà Trưng,Đà Nẵng,03/09/1986,Nam,3,7,7020071,0
00145,Lâm Thái Duy,293B,Sài Gòn,Liên Chiểu,Hồ Chí Minh,12/09/1977,Nam,2,7,24694797,1
00146,Hứa Yên Mai,382,Anh Đào,Liên Chiểu,Hồ Chí Minh,16/03/1997,Nam,4,13,28794427,0
00147,Vũ Thành An,611,Hòa Bình,Tân Bình,Hà Nội,25/02/1965,Nam,1,14,20779774,0
00148,Vừ Ðông Nghi,782A,Nguyễn Văn Linh,Quận 6,Hà Nội,06/12/1993,Nam,2,14,28447294,0
00149,Mẫn Xuân Bình,983,Nam Kỳ Khởi Nghĩa,Quận 1,Hà Nội,20/09/2009,Nữ,2,15,14961998,1
00150,Y Ðại Ngọc,482,Lý Tự Trọng,Hoàng Mai,Hồ Chí Minh,24/05/2007,Nam,2,14,19978984,0
00151,Hồng Xuân Thanh,492,Hoàng Sa,Quận 4,Hồ Chí Minh,27/05/1971,Nữ,2,2,16070994,1
00152,Diệp Quốc Tiến,820,Bưởi,Cẩm Lệ,Hồ Chí Minh,25/10/1975,Nữ,4,11,15869709,0
00153,Phạm Liên Kiệt,770D,Ngô Gia Tự,Quận 10,Đà Nẵng,14/07/1973,Nữ,3,8,23916563,0
00154,Tôn Ngọc Khương,462A,Sấu,Quận 2,Đà Nẵng,22/11/2002,Nam,1,8,11914134,0
00155,Hồ Ðức Toàn,543,Đồng Nai,Quận 5,Đà Nẵng,26/04/1971,Nam,5,12,19974972,1
00156,Đoàn Gia Ân,969D,Mai Vàng,Cẩm Lệ,Hồ Chí Minh,06/06/1989,Nam,2,8,22814697,0
00157,Ứng Ngọc Diệp,424B,Hoàng Sa,Quận 3,Hà Nội,12/12/1986,Nữ,3,3,26741267,0
00158,Đèo Việt Cường,980C,Võ Thị Sáu,Hà Đông,Đà Nẵng,16/06/2001,Nữ,5,10,18746014,1
00159,Phạm Huệ Phương,723B,Nguyễn Văn Cừ,Hà Đông,Hồ Chí Minh,05/12/1965,Nữ,5,9,19291705,0
00160,Triệu Vân Trang,944C,Âu Cơ,Liên Chiểu,Đà Nẵng,23/06/1978,Nữ,2,12,9866639,1
00161,Cái Hải Thảo,728A,Trần Quang Diệu,Ngũ Hành Sơn,Hà Nội,25/11/1974,Nam,5,7,24048210,1
00162,Nông Quốc Tuấn,394A,Cầu Giấy,Quận 3,Hà Nội,06/10/2006,Nam,5,3,9657768,0
00163,Dương Ðức Khải,338,Độc Lập,Long Biên,Đà Nẵng,16/02/1965,Nam,5,3,15110964,1
00164,Tiêu Huy Hoàng,748,Âu Cơ,Ngũ Hành Sơn,Hồ Chí Minh,30/03/2000,Nữ,4,15,13268130,1
00165,Sử Trâm Anh,864B,Bà Nà,Cầu Giấy,Hà Nội,20/04/2003,Nam,3,5,29757911,0
00166,Huỳnh Phước Nguyên,690,Ba Vì,Hoàn Kiếm,Hà Nội,04/10/1991,Nam,3,8,16925735,0
00167,Bùi Hồng Vinh,686,Võ Thị Sáu,Quận 12,Hồ Chí Minh,03/11/1994,Nam,3,13,7162571,1
00168,Cao Thụy Vũ,953,Đinh Tiên Hoàng,Tân Phú,Hà Nội,21/06/2002,Nữ,1,10,12440837,1
00169,Hầu Nguyên Nhân,775D,Nguyễn Du,Quận 2,Đà Nẵng,13/12/1976,Nữ,2,6,18066224,1
00170,Ngụy Hữu Cường,910D,Nguyễn Hồng Đào,Long Biên,Đà Nẵng,19/05/1970,Nữ,5,6,11215417,1
00171,Vi Thủy Hằng,339C,Nguyễn Hữu Thọ,Thanh Khê,Đà Nẵng,27/06/2000,Nữ,5,13,11406092,0
00172,Lường Huyền Trâm,295B,Nguyễn Phúc Nguyên,Long Biên,Đà Nẵng,09/01/1965,Nam,2,8,7076741,1
00173,Vi Huệ Linh,608A,Phượng Vĩ,Quận 3,Hà Nội,18/09/1977,Nữ,4,1,18837660,0
00174,Khưu Xuân Phúc,541B,Chiến Thắng,Quận 11,Hồ Chí Minh,04/01/1967,Nam,1,6,22715680,0
00175,Âu Diệu Hạnh,292C,Quốc Lộ 1A,Tây Hồ,Hồ Chí Minh,02/03/1987,Nữ,1,6,12698017,0
00176,Cao Xuân Nương,862,Hoàng Văn Thụ,Hà Đông,Đà Nẵng,17/01/1978,Nữ,5,15,8102133,1
00177,Triệu Kim Sơn,34,Hoàng Diệu,Hải Châu,Đà Nẵng,14/04/1967,Nam,5,14,9580814,0
00178,Hạnh Ðình Phúc,932C,Nguyễn Trãi,Sơn Trà,Đà Nẵng,31/12/1989,Nam,4,1,10485188,1
00179,Cao Hoàng Cúc,871,Điện Biên,Hải Châu,Hồ Chí Minh,07/08/1998,Nữ,2,13,25918063,1
00180,Ứng Trung Thực,47C,Lạc Long Quân,Quận 3,Hồ Chí Minh,13/02/2003,Nam,4,6,27748916,0
00181,Từ Thường Xuân,212,Côn Đảo,Đống Đa,Đà Nẵng,25/05/2009,Nam,2,12,27532474,1
00182,Ứng Hồng Nhạn,443B,Lý Tự Trọng,Ngũ Hành Sơn,Hồ Chí Minh,11/08/1975,Nữ,3,4,20531809,1
00183,Trương Hương Thảo,617,Lê Văn Sỹ,Cẩm Lệ,Hồ Chí Minh,31/08/1985,Nam,1,10,22182187,0
00184,Hầu Uy Vũ,276D,Hàm Thuận Nam,Cầu Giấy,Hà Nội,15/09/1985,Nam,3,9,21239568,1
00185,Đinh Chuẩn Khoa,597,Thống Nhất,Long Biên,Hồ Chí Minh,19/08/1991,Nữ,1,11,12874955,1
00186,Tôn Thái Nguyên,622,Nguyễn Thiện Thuật,Tân Bình,Hồ Chí Minh,08/06/1987,Nữ,2,13,24898431,1
00187,Sa Hiểu Lam,215,Cam,Thanh Khê,Đà Nẵng,18/02/1977,Nữ,5,15,9871581,1
00188,Đặng Ngọc Như,410,Lý Tự Trọng,Ngũ Hành Sơn,Đà Nẵng,16/12/1998,Nữ,4,5,26318530,1
00189,Đồng Minh Lý,427,Phạm Văn Đồng,Nam Từ Liêm,Đà Nẵng,14/12/1994,Nam,2,1,13153655,0
00190,Hạnh Hà Thanh,998B,Nguyễn Huệ,Thanh Xuân,Đà Nẵng,02/02/1980,Nữ,1,8,22950998,1
00191,Phạm Diệu Ngà,808,Âu Cơ,Sơn Trà,Hồ Chí Minh,23/08/1979,Nam,4,13,28954264,1
00192,Phạm Thục Ðoan,870,Đào,Quận 10,Đà Nẵng,04/06/1985,Nữ,5,6,10691698,1
00193,Lý Minh Kiệt,726C,Nguyễn Thiện Thuật,Cầu Giấy,Đà Nẵng,10/03/2006,Nữ,1,1,8095668,1
00194,Ứng Hiếu Phong,258C,Hùng Vương,Ba Đình,Hồ Chí Minh,06/05/2004,Nam,5,2,9878470,0
00195,Vừ Hạnh Nga,736,Ba Vì,Hà Đông,Đà Nẵng,29/11/1991,Nữ,4,5,24774889,1
00196,Hứa Dạ Thi,688A,Nguyễn Thiếp,Long Biên,Hà Nội,19/07/1987,Nữ,4,6,16240307,1
00197,Từ Viết Nhân,864A,Huỳnh Thúc Kháng,Hà Đông,Đà Nẵng,19/12/2008,Nữ,3,6,28929779,1
00198,Châu Thế Phương,91C,Ba Vì,Liên Chiểu,Đà Nẵng,13/02/1997,Nữ,5,12,16665287,0
00199,Tôn Thủy Linh,838,Nguyễn Thiện Thuật,Quận 12,Đà Nẵng,28/03/2006,Nữ,2,1,23634150,0
00200,Võ Hải Hà,484,Võ Thị Sáu,Sơn Trà,Hồ Chí Minh,16/07/2005,Nam,1,12,16737300,0
00201,Tô Lạc Phúc,738,Võ Thị Sáu,Cẩm Lệ,Hà Nội,12/01/1994,Nam,4,7,25525550,0
00202,Xà Cẩm Nhi,861B,Xoài,Quận 8,Đà Nẵng,12/11/1968,Nam,1,3,7704694,1
00203,Ninh Xuân Quân,878,Sài Gòn,Cẩm Lệ,Hà Nội,29/08/1966,Nam,3,8,28205909,0
00204,Sa Vàng Anh,752,Vú Sữa,Cẩm Lệ,Hà Nội,01/03/1999,Nữ,4,8,18900722,0
00205,Phan Khắc Tuấn,197,Thanh Niên,Ngũ Hành Sơn,Đà Nẵng,26/05/1996,Nữ,2,4,29773867,1
00206,Sầm Hoài Vỹ,232,Phan Châu Trinh,Ngũ Hành Sơn,Hà Nội,21/07/2001,Nữ,1,5,13605745,1
00207,Mẫn Hải Anh,223,Lý Thái Tổ,Long Biên,Hồ Chí Minh,09/07/1989,Nữ,3,1,27110060,0
00208,Khổng Ðịnh Lực,481,Bà Triệu,Hoàng Mai,Đà Nẵng,26/04/1983,Nam,4,10,27813437,1
00209,Lý Bá Tùng,139C,Trường Chinh,Ngũ Hành Sơn,Đà Nẵng,05/09/1972,Nam,1,8,19972212,0
00210,Quỳnh Bạch Kim,280D,Ngô Gia Tự,Liên Chiểu,Hà Nội,06/05/2001,Nam,1,2,23648345,1
